Tag;pNR;pVersion;pName;Dauer;Uhrzeit;Teilnehmer;RÃ¤ume;PrÃ¼fer
2;9008;132;Grundl. d.Unternehmsrech.;3;8;59;"1/306" "1/206" "1/208" "1/209" "1/210" "1/211" ;2846/0;
2;9010;132;Grdl.technischer Prozesse;4;8;33;"1/220" "1/222" "1/225" ;1006/0;
2;601923010;192;Baustatik I;3;10;44;"3/111" "3/201" ;15291/0;
2;601924050;192;Siedlungswasserwirtsch. I;2;10;2;"3/203" ;15941/0;
2;6050;162;Baumanagement II;2;10;17;"3/224" ;1218/0;
2;6030;162;Stahl-/Spannbetonbau;5;10;33;"L/125" "L/126" "L/128" ;15282/1969;
2;6020;162;Verkehrswesen III;4;10;35;"1/U27" "1/U28" "8/141" ;14230/6874;
2;7020;162;Abfallwirtschaft;3;10;24;"8/146" "8/341" "8/346" "8/003" ;155/0;
2;9001;132;Grundl.Recht und Steuern;4;10;57;"1/U37" "1/106" ;138/2156;
2;601923060;192;Bauproduktionstechnik;2;10;40;"3/211" "3/212" "3/214" "3/215" "3/223" ;1218/0;
2;7030;162;Baubetriebswirtsch.;4;10;38;"L/106" "L/111" "L/116" "L/123" ;132/1111;
2;6040;162;Siedlungswasserwirtschaft;3;10;34;"8/043" "1/306" "1/206" ;6174/8617;
2;9003;132;Grundz. d. Personalwes.;2;10;51;"1/208" "1/209" "1/210" "1/211" ;15827/0;
2;6030;162;Planung/Konstruktion II;4;11;33;"1/227" "1/309" "1/311" "3/101" ;115/0;
2;3191;132;Wirtschaftsenglisch 1;2;11;45;"1/013" "1/020" "L/107" "3/323" ;2555/2839;
2;9007;132;Grdl.Geschäftsab.Finanzen;3;11;91;"8/008" "8/023" "1/108" "1/109" "1/110" "1/111" "1/303" ;4136/2141;
2;611929000;192;Volkswirtschaftslehre;4;11;56;"1/220" "1/222" "1/225" ;386/0;
2;7020;162;Geotechnik IV;3;11;24;"2/264" "2/301" "2/214" "1/010" ;1126/0;
2;9005;132;Grdl.Quantitative Method.;4;12;51;"3/203" "3/224" ;671/8462;
2;9009;132;Grdl. logist. Prozesse;3;12;49;"3/111" "3/201" "3/211" ;1304/0;
2;611929002;192;Management;3;12;56;"3/212" "3/214" "3/215" "3/223" "8/146" "8/341" "8/346" ;1091/1006;
2;611929004;192;Produktions-u.Technolog.;3;12;56;"8/003" "1/208" "1/209" "1/210" "1/211" ;1006/0;
2;611929001;192;Quantitative Methoden 1;5;13;53;"1/013" "1/020" "L/107" "1/U27" "1/U28" ;671/8462;
2;3091;132;Beschaffung und Logistik;3;13;16;"3/323" "8/043" ;15452/0;
2;5094;132;Bilanzpolitik und Bilanza;3;13;7;"8/141" ;4136/0;
2;5097;132;Marketing und Vertrieb;3;13;26;"1/U37" "1/106" ;325/0;
2;9013;132;Recht und Steuern;4;13;49;"1/306" "1/206" ;4136/321;
2;611929003;192;Betriebl.Rechnungswesen;3;13;51;"L/106" "L/111" "L/116" "L/123" "L/125" ;4136/0;
2;5096;132;Kapitalmärkte und Banken;3;13;8;"L/126" ;1678/0;
2;9015;132;Nat.u.Intern. Rechnungsl.;4;13;60;"L/128" "8/008" "8/023" "1/108" "1/109" ;508/0;
2;9020;132;Corporate Finance;4;13;48;"1/110" "1/111" "1/303" ;1678/0;
2;3092;132;Dienstleistungsmanagement;3;14;38;"1/227" "1/309" "1/311" "3/101" ;15965/0;
2;9016;132;Controlling;4;14;46;"2/264" "2/301" "2/214" "1/010" "1/220" ;694/0;
2;9004;132;Marketing Management;2;14;57;"1/222" "1/225" ;325/0;
3;5141;132;Operations Research;3;8;37;"1/227" "1/309" "1/311" "3/101" ;1132/0;
3;9006;132;Operations Management;3;8;52;"3/111" "3/201" "3/203" ;1006/0;
3;1020;182;Theoretische Gebäudephysi;5;8;134;"3/211" "3/212" "3/214" "3/215" "3/223" "3/224" "2/264" "2/301" "2/214" "1/010" "1/013" "1/020" "L/107" ;1436/1471;
3;17130;182;Schallschutz 1;2;8;1;"L/106" ;3615/0;
3;1010;131;Strukturmechanik;6;8;2;"L/111" ;15291/0;
3;1050;131;Tunnelbau 1;2;8;1;"L/116" ;815/0;
3;911921010;192;Strukturmechanik;6;8;1;"L/123" ;15291/0;
3;911921050;192;Tunnelbau 1;3;8;1;"L/125" ;815/0;
3;911922010;192;Geomechanik 2;3;8;8;"L/126" ;3281/0;
3;911922040;192;Tunnelbau 2;4;8;7;"L/128" ;815/0;
3;911922010;1922;Geomechanik 2;3;8;2;"1/U27" ;3281/0;
3;2030;172;Fachwissen Innenraum 2;4;8;31;"1/U28" "3/323" "8/008" ;2174/0;
3;2050;172;Fachw. Kul. u. Humanw. 2;3;8;37;"8/023" "8/043" "8/141" ;1188/0;
3;3040;172;Fachwissen Möbel 3;2;8;23;"8/146" "8/341" "8/346" "8/003" ;693/0;
3;4030;172;Fachwissen Innenraum 4;2;8;10;"1/U37" ;15337/0;
3;4050;172;Fachw. Kul. u. Humanw. 4;3;8;9;"1/106" ;1188/0;
3;11921120;192;WPF Fremdsprache;2;8;7;"1/108" ;2839/0;
3;1020;132;Diskrete Mathematik;3;8;58;"1/109" "1/110" "1/111" "1/303" "1/306" ;15995/0;
3;1050;132;Betriebswirtschaftslehre;3;8;48;"1/206" "1/208" "1/209" "1/210" ;15510/0;
3;2020;132;Lineare Algebra;2;8;66;"1/211" "1/220" "1/222" "1/225" ;17/0;
3;1011;132;PVL Economics and Bus.Inf;3;10;25;"L/106" "L/116" "8/146" ;3514/694;
3;17120;182;Körperschall u.inno.Lärm;3;10;2;"8/341" ;3615/9145;
3;1030;131;Stahl- und Stahlbetonbau;5;10;3;"8/346" ;15282/0;
3;911921020;192;Geomechanik 1;5;10;1;"8/003" ;3281/0;
3;911922020;192;Numerische Verfahren Geo.;3;10;8;"1/U37" ;3281/0;
3;911922020;1922;Numerische Verfahren Geo.;3;10;2;"1/108" ;3281/0;
3;3030;172;Fachwissen Innenraum 3;4;10;29;"1/211" "1/220" "1/222" ;2174/0;
3;4040;172;Fachwissen Möbel 4;2;10;9;"1/225" ;693/0;
3;9011;132;Intern. Business Law;4;10;27;"1/227" "1/309" "1/311" ;138/694;
3;2050;131;Wirtschaft, Recht, Manag.;6;10;5;"3/101" ;6817/0;
3;911922050;192;Wirtschaft und Management;4;10;8;"3/111" ;6817/3281;
3;3050;172;Fachw. Kul. u. Humanw. 3;3;10;24;"3/201" "3/203" ;1188/0;
3;11923055;192;3_Designgeschichte;2;10;55;"L/125" "L/126" "1/U27" "8/023" "8/043" ;1188/0;
3;2010;132;Mathematik 2;4;10;50;"8/141" "1/106" "1/109" "1/110" "1/111" ;55/0;
3;3011;132;Numerik;3;10;6;"1/303" ;95/0;
3;3013;132;Operations Research;3;10;5;"1/306" ;3213/0;
3;3030;132;Software-Technik;4;10;53;"1/206" "1/208" "1/209" "1/210" ;388/0;
3;17150;182;Heizung, Klima, Lüftung;2;11;1;"L/128" ;1436/0;
3;2040;172;Fachwissen Möbel 2;2;11;33;"1/U28" "3/323" "8/008" ;693/6175;
3;911921060;192;Recht;4;11;7;"3/211" ;6817/3281;
3;1030;132;Einführ. i.d. Informatik;2;11;28;"3/212" "3/214" "3/215" "3/223" ;489/0;
3;3012;132;Statistik;3;11;24;"3/224" "2/264" ;3213/0;
3;3050;132;Theoretische Informatik;4;11;52;"2/301" "2/214" "1/010" "1/013" "1/020" ;311/0;
3;4050;132;Kommunikationssysteme;4;11;44;"L/107" ;15950/3251;
3;11921050;192;1_Wissen;2;12;66;"L/111" "L/123" "1/225" ;1188/0;
3;2030;132;Programmieren 2;4;12;54;"L/106" "L/116" "L/125" "L/126" "1/U27" ;1010/0;
3;4010;132;Datenbanksysteme;2;12;12;"8/023" ;92/0;
3;7020;132;Recht;2;12;38;"8/043" "8/146" "8/341" "1/U37" ;2413/0;
3;3020;132;Datenstrukturen/Algorithm;4;12;87;"1/108" ;4406/0;
3;3020;132;Datenstrukt.u.Algorithmen;4;13;87;"3/201" "3/203" "L/128" "1/U28" "3/323" "8/008" ;4406/0;
3;3010;132;Modellierung raumb. Daten;4;13;44;"1/303" "1/306" "1/211" "1/220" ;139/15215;
3;3050;132;Operations Research;3;13;52;"1/222" ;3213/0;
3;7010;132;Betriebspsychologie;2;13;47;"1/227" "1/309" "1/311" "3/111" ;3512/0;
3;4010;132;Datenbanksysteme;2;13;12;"3/212" "3/214" ;1835/0;
3;4030;132;Verteilte Systeme u.Netzw;4;13;8;"3/215" ;15950/0;
3;4050;132;Recht;2;13;44;"3/223" "8/141" "8/346" "8/003" ;2413/0;
3;7020;132;Content Management;2;13;38;"1/106" "1/109" "1/110" "1/111" ;312/0;
3;17500;132;eCommerce;3;13;2;"1/206" ;1426/0;
3;1040;182;Einf. Logistik u. Betw.;3;13;150;"1/208" "1/209" "1/210" ;3254/0;
3;3030;132;IT in der Logistik;3;14;53;"3/224" "2/264" "L/111" "L/123" "1/225" ;3254/278;
4;4020;132;Messsysteme räuml. Objek;3;8;4;"1/227" ;236/0;
4;6020;132;Analyse raumbez. Daten;4;8;1;"1/309" ;15660/3254;
4;1030;182;Grundl. d. Informationsl.;4;8;93;"1/311" "3/101" "3/111" "3/201" "3/203" ;8415/15845;
4;2010;182;Mathematik 2;4;8;65;"3/211" "3/212" "3/214" "3/215" "3/223" "3/224" ;8461/0;
4;2030;182;Aktoren;2;8;33;"2/264" "2/301" "2/214" "1/010" ;8415/0;
4;2050;182;Sensoren u. Auswerttechni;4;8;51;"1/013" "1/020" "L/107" "L/106" "L/111" ;8415/236;
4;3010;182;Modellierung raumb. Daten;3;8;77;"L/116" "L/123" "L/125" "L/126" "L/128" "1/U27" "1/U28" ;139/15215;
4;3030;182;IT in der Logistik;3;8;84;"3/323" "8/008" "8/023" "8/043" "8/141" "8/146" "8/341" "8/346" ;3254/278;
4;4010;182;Datenbanksysteme;2;8;28;"8/003" "1/U37" ;1835/0;
4;4030;182;Verteilte Systeme;4;8;17;"1/106" "1/108" ;15950/0;
4;4050;182;Recht, Qualitätsmanagemen;4;8;17;"1/109" "1/110" ;2413/8415;
4;3040;131;Projektentw./Baumanag. 2;3;8;1;"1/111" ;1974/1597;
4;5020;131;Projektentw./Baumanag. 3;2;8;2;"1/303" ;15489/0;
4;6010;131;Siedlungswasserwirtschaft;6;8;19;"1/306" "1/206" ;6174/1134;
4;6040;131;Verkehrsinfrastruktur 3;4;8;17;"1/208" "1/209" ;15364/6874;
4;7010;131;Recht 2;3;8;17;"1/210" "1/211" ;1973/0;
4;7040;131;Umweltmanagement;2;8;21;"1/220" "1/222" ;6174/0;
4;1020;172;Einführung in die Inf.;2;8;47;"1/225" ;6811/0;
4;4040;132;Techn. Kommunikationsman.;4;10;3;"2/264" ;8415/139;
4;1050;182;Fremdsprachen 1;2;10;113;"2/301" "2/214" "1/010" "8/003" "1/U37" "1/303" "1/220" "1/222" "1/225" ;381/2839;
4;17300;132;Software Engineering;4;10;1;"1/227" ;388/0;
4;2040;182;Telematik;3;10;39;"L/116" "L/123" "L/125" "L/126" ;8415/817;
4;3020;182;Datenstrukturen/Algorithm;4;10;77;"L/128" "1/U27" "1/U28" "3/323" "8/008" "8/023" ;4406/0;
4;4020;182;Messsysteme räuml. Objek;3;10;27;"8/043" "8/141" ;236/0;
4;3030;131;Verkehrsinfrastruktur 2;3;10;2;"8/146" ;14230/0;
4;5030;131;Unternehmensführung 3;5;10;1;"8/341" ;2341/15505;
4;6050;131;Öffentliche Verwaltung;2;10;19;"8/346" "1/111" ;2341/0;
4;1010;172;Mathematik 1;4;10;30;"1/210" "1/211" ;15661/2417;
4;2020;182;Programmieren 2;4;11;53;"1/309" "1/311" "3/101" "3/111" ;8415/139;
4;3050;182;Operations Research;3;11;43;"3/201" "3/203" "3/211" ;3213/0;
4;3050;131;Unternehmensführung 2;4;11;1;"3/212" ;4654/2341;
4;7030;131;Energie 3;2;11;17;"3/214" "3/215" "3/223" ;457/6745;
4;1050;172;Wirtschaftslehre;2;11;50;"3/224" "1/013" "1/020" ;7410/15837;
4;2010;172;Mathematik 2;4;11;42;"L/107" "L/106" "L/111" "1/106" ;2417/514;
4;2030;172;Verkehrsinfrastruktur 1;6;11;31;"1/108" "1/109" "1/110" ;6874/14230;
4;2050;172;Projektmanag.u.-entw.1;3;11;37;"1/208" "1/209" ;132/15461;
4;2060;182;Fremdsprachen 2;2;12;2;"2/301" ;381/2839;
4;6020;131;Abfallwirtschaft;4;12;16;"2/214" "1/010" ;155/0;
4;1060;172;Baustoffe u. Geotechnik 1;3;12;70;"8/003" "1/U37" "1/303" "1/306" "1/206" ;14230/815;
4;2040;172;Energie 1;3;12;33;"1/220" "1/222" "1/225" ;15786/0;
4;4040;182;Techn. Kommunikationsman.;3;12;25;"8/346" "1/111" ;8415/139;
4;1040;172;Physik für Ingenieure;3;13;56;"3/214" "3/215" "3/223" "3/224" "2/264" ;5454/7410;
4;2060;172;Bau-/Immobilienwirtschaft;2;13;32;"1/013" "1/020" "L/116" ;1202/0;
4;3030;172;Recht 1;3;13;29;"L/123" "L/125" "L/126" ;9641/0;
4;3050;172;Verkehrsinfrastruktur 2;3;13;24;"8/043" "8/141" ;14230/0;
4;3070;172;Unternehmensführung 1;2;13;36;"8/146" ;15679/0;
4;2020;172;Baustoffe u. Geotechnik 2;2;13;23;"1/227" "3/201" ;1979/0;
4;3040;172;Wasserfachliche Grdl.;2;13;23;"3/203" "3/211" ;6174/15621;
4;4015;172;Grundlagen Arbeitsschutz;2;13;26;"L/128" "1/U27" ;8412/0;
4;5010;172;Gebäudeenergietechn.;3;13;22;"1/U28" ;15063/0;
4;5030;172;Öffentl.Verwaltung.,Regul;2;13;26;"3/323" "8/008" "8/023" ;2341/7410;
4;6030;172;Verkehrsinfrastruktur 3;4;13;3;"1/208" ;15364/15358;
4;1020;141;Physikalische Grundl.1;4;13;6;"1/209" ;862/0;
4;1040;141;Baukonst. u.Entwerfen 1;2;13;1;"1/210" ;6281/8713;
4;2010;141;Angwe. Mathematik 2;3;13;20;"1/211" ;17/0;
4;3010;172;Versorgungstechnik;4;14;22;"1/309" "1/311" ;7410/0;
4;5000;172;Arbeitsschutzmanagement;2;14;22;"3/101" ;15994/0;
4;6010;172;Siedlungswasserwirtschaft;6;14;3;"3/111" ;6174/1134;
4;1030;141;Gebäudetechnik 1;2;14;7;"3/212" ;862/0;
4;2020;141;Physikalische Grundl. 2;4;14;19;"2/301" "L/107" "L/106" ;862/0;
4;2060;141;Tragswerksl. u. Material.;3;14;18;"L/111" "8/341" ;862/6317;
4;17490;141;Mathematik 4;3;14;1;"1/106" ;1436/0;
5;3060;172;Projektmanagem.-u.entw.2;3;8;27;"1/227" "1/309" "1/311" ;1974/1597;
5;1010;141;Angew.Mathematik 1;3;8;12;"3/101" ;17/0;
5;2040;141;Simulationswerkzeuge 1;8;8;22;"3/111" ;346/0;
5;1010;131;Entw Erd-/Grund-/Tunnelb.;2;8;2;"3/201" ;815/1126;
5;1040;131;Beme./Konstr. Leichtbau 1;5;8;1;"3/203" ;820/183;
5;2020;131;Strukturmechanik 2;4;8;13;"3/211" "3/212" ;1131/7845;
5;2040;131;Beme./Konstr. Leichtbau 2;4;8;17;"3/214" "3/215" "3/223" ;1131/7845;
5;921922020;192;Strukturmechanik 2;4;8;9;"3/224" ;15291/1131;
5;921922040;192;Leichtbau;4;8;11;"2/264" "2/301" ;7845/1131;
5;921922030;1922;Massivbau;5;8;1;"2/214" ;15282/1969;
5;301923020;192;Kostenmanagement;3;8;24;"1/010" "1/013" ;15440/0;
5;1010;132;Analysis 1;4;8;20;"1/020" "L/107" ;8461/0;
5;2010;132;Analysis 2;4;8;50;"L/106" "L/111" "L/116" "L/123" "L/125" ;2417/0;
5;2030;132;Math. Anwendungen 2;2;8;54;"L/126" "L/128" "1/U27" "1/U28" ;3213/0;
5;3010;132;Stochastik;4;8;44;"3/323" "8/008" "8/023" "8/043" ;82/0;
5;4010;132;Analysis 3;4;8;12;"8/141" "8/146" ;514/0;
5;4040;132;Datenstrukturen/Algorith.;4;8;3;"8/341" ;4406/0;
5;7010;132;Datenbanksysteme;2;8;47;"8/346" "8/003" "1/U37" "1/106" ;92/0;
5;1020;182;Lineare Algebra 1;4;8;134;"1/108" "1/109" "1/110" "1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" "1/211" ;412/0;
5;2030;182;Math. Anwendungen 2;2;8;33;"1/220" "1/222" "1/225" ;3213/0;
5;5020;172;Projektentw./Baumanag. 3;2;10;24;"3/201" "L/126" ;15982/15489;
5;6050;141;Baugeschichte und Ethik;2;10;10;"L/128" ;862/13711;
5;1050;131;Bauen und Erhalten 1;2;10;1;"1/U27" ;499/820;
5;921921060;192;Recht;2;10;8;"1/U28" ;815/6817;
5;921922020;1922;Strukturmechanik 2;4;10;1;"8/346" ;15291/7845;
5;301928180;192;WPF Techn. Infrastruktur;3;10;6;"8/003" ;6174/7410;
5;2020;132;Lineare Algebra 2;4;10;66;"1/U37" "1/106" "1/220" "1/222" "1/225" ;4169/0;
5;1060;141;Baugesch.u.Gebäudelehre;2;10;16;"1/227" "1/309" ;8713/15208;
5;2030;131;Bemessen/Konst. Massivbau;5;10;11;"1/311" "3/101" ;15282/1969;
5;2040;132;Management und Recht 2;3;10;22;"1/010" "1/013" ;6841/0;
5;1030;131;Strukturmechanik 1;4;11;3;"3/211" ;15291/678;
5;1020;132;Lineare Algebra 1;4;11;58;"3/212" "3/214" "3/215" "3/223" "3/224" ;412/0;
